933 ms; 2 id; Stop reading
933 ms; 2 id; Start reading 3
936 ms; 2 id; Stop reading
936 ms; 3 id; Stop reading
936 ms; 2 id; Start reading 2
938 ms; 2 id; Stop reading
940 ms; 4 id; Stop reading
940 ms; 3 id; Start writing 5
945 ms; 3 id; Stop writing
945 ms; 2 id; Start reading 3
945 ms; 4 id; Start reading 1
945 ms; 3 id; Start reading 2
946 ms; 4 id; Stop reading
946 ms; 4 id; Start reading 1
947 ms; 4 id; Stop reading
947 ms; 3 id; Stop reading
947 ms; 4 id; Start reading 10
947 ms; 3 id; Start reading 2
948 ms; 2 id; Stop reading
948 ms; 2 id; Start reading 9
949 ms; 3 id; Stop reading
949 ms; 3 id; Start reading 7
956 ms; 3 id; Stop reading
956 ms; 3 id; Start reading 1
957 ms; 2 id; Stop reading
957 ms; 3 id; Stop reading
957 ms; 4 id; Stop reading
957 ms; 2 id; Start reading 7
964 ms; 2 id; Stop reading
964 ms; 3 id; Start writing 2
966 ms; 3 id; Stop writing
966 ms; 4 id; Start reading 6
966 ms; 2 id; Start reading 1
966 ms; 3 id; Start reading 7
967 ms; 2 id; Stop reading
967 ms; 2 id; Start reading 1
968 ms; 2 id; Stop reading
968 ms; 2 id; Start reading 4
972 ms; 2 id; Stop reading
972 ms; 4 id; Stop reading
972 ms; 2 id; Start reading 6
972 ms; 4 id; Start reading 10
973 ms; 3 id; Stop reading
973 ms; 3 id; Start reading 10
978 ms; 2 id; Stop reading
978 ms; 2 id; Start reading 9
982 ms; 4 id; Stop reading
982 ms; 4 id; Start reading 4
983 ms; 3 id; Stop reading
983 ms; 3 id; Start reading 8
986 ms; 4 id; Stop reading
986 ms; 4 id; Start reading 5
987 ms; 2 id; Stop reading
987 ms; 2 id; Start reading 9
991 ms; 3 id; Stop reading
991 ms; 4 id; Stop reading
991 ms; 3 id; Start reading 2
991 ms; 4 id; Start reading 9
993 ms; 3 id; Stop reading
993 ms; 3 id; Start reading 4
996 ms; 2 id; Stop reading
996 ms; 2 id; Start reading 9
997 ms; 3 id; Stop reading
997 ms; 3 id; Start reading 5
1000 ms; 4 id; Stop reading
1000 ms; 4 id; Start reading 2
1002 ms; 3 id; Stop reading
1002 ms; 4 id; Stop reading
1002 ms; 3 id; Start reading 5
1002 ms; 4 id; Start reading 2
1004 ms; 4 id; Stop reading
1004 ms; 4 id; Start reading 5
1005 ms; 2 id; Stop reading
1005 ms; 2 id; Start reading 5
1007 ms; 3 id; Stop reading
1007 ms; 3 id; Start reading 2
1009 ms; 3 id; Stop reading
1009 ms; 4 id; Stop reading
1009 ms; 3 id; Start reading 3
1009 ms; 4 id; Start reading 8
1010 ms; 2 id; Stop reading
1012 ms; 3 id; Stop reading
1017 ms; 4 id; Stop reading
